City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,kingston,17.997,-76.7936,32.53000000000003,62,20,8.75,JM,1712605892
153,shambu,9.5667,37.1,17.77000000000004,46,96,0.78,ET,1712606486
154,gaspe,48.8334,-64.4819,10.120000000000005,29,20,6.17,CA,1712606419
155,maine soroa,13.2114,12.0241,30.710000000000036,13,8,3.93,NE,1712606486
156,corinto,37.9407,22.9573,18.460000000000036,49,0,1.9,GR,1712606486
157,nemuro,43.3236,145.575,5.410000000000025,99,100,7.11,JP,1712606486
158,inirida,3.8653,-67.9239,31.200000000000045,58,82,3.22,CO,1712606486
159,hammerfest,70.6634,23.6821,-1.75,86,75,3.6,NO,1712606487
160,chernyshevskiy,63.0128,112.4714,-25.369999999999976,100,78,0.91,RU,1712606487
161,gorbunki,59.8182,29.9841,11.470000000000027,72,0,3.0,RU,1712606487
162,necochea,-38.5473,-58.7368,27.160000000000025,33,69,7.86,AR,1712606425
163,labytnangi,66.6572,66.4183,-19.22999999999999,90,35,3.35,RU,1712606487
164,piton saint-leu,-21.2196,55.3151,22.060000000000002,83,0,2.57,RE,1712606281
165,humaita,-7.5061,-63.0208,31.510000000000048,61,95,1.75,BR,1712606487
166,barcelos,41.5388,-8.6151,11.080000000000041,73,6,3.09,PT,1712606487
167,brisas de zicatela,15.8369,-97.0419,30.29000000000002,58,0,3.09,MX,1712606487
168,yefremov,53.1481,38.0992,12.720000000000027,77,100,3.09,RU,1712606487
169,georgetown,5.4112,100.3354,27.960000000000036,89,20,2.06,MY,1712606286
170,mudurnu,40.473,31.2076,6.360000000000014,90,49,1.92,TR,1712606488
171,jamestown,42.097,-79.2353,15.850000000000023,42,100,1.54,US,1712606221
172,isla vista,34.4133,-119.861,23.340000000000032,52,0,3.09,US,1712606354
173,olonkinbyen,70.9221,-8.7187,-3.3999999999999773,66,90,8.66,SJ,1712606488
174,hamilton,39.1834,-84.5333,24.200000000000045,51,0,4.63,US,1712605861
175,diego de almagro,-26.3667,-70.05,27.950000000000045,17,0,4.59,CL,1712606436
176,longyearbyen,78.2186,15.6401,-15.089999999999975,78,75,0.0,SJ,1712605922
